week_number,year,report_date,product_rank,product_category,product_name,total_score,views_score,engagement_score,trend_score,demand_score,views,likes,comments,shares,engagement_rate,tiktok_url,ai_market_positioning,ai_target_audience,ai_pricing_strategy,ai_risks
4,2026,2026-01-20,1,Top Product,3D printed Shoes Printer: Bambu Lab A1 Filament: TPU 95A Blue and TPU 95A Rainbow STL file: Makerwor,50.67,0,28.91,0,80,0,0,0,0,4.47,https://www.tiktok.com/@gcodelab/video/7520910828988665110,3D打印鞋定位为高端定制与个性化潮流市场，满足消费者对创新、环保及个性表达的需求。结合TPU柔性材料，适合追求舒适与耐用的运动鞋和时尚鞋类细分市场。,目标用户为18-35岁的潮流年轻群体、运动爱好者及DIY爱好者，尤其是关注环保和个性化产品的美国都市消费者。还有具备一定3D打印知识、愿意投入时间和成本进行定制化制作的高端用户。,建议采取中高端定价策略，单鞋售价定位在150-300美元区间，以体现定制化和材料优势。可通过捆绑销售STL文件和打印服务增加附加值，同时推出限量版设计提升溢价能力。,
4,2026,2026-01-20,2,Top Product,Top 7 most 3D printed. Let me know which one you want to print! . Files at LinkIn myBio.,42.47,0,61.09,0,80,0,0,0,0,9.45,https://www.tiktok.com/@ForgeCore/video/7528928933077617933,该产品定位为面向3D打印爱好者及创客社区的高互动内容，强调多样化且易于打印的热门模型，满足用户对个性化和趣味性的需求。利用病毒式传播效应，快速提升品牌认知度和用户粘性。,主要面向拥有FDM和树脂3D打印机的中高级用户，以及寻求快速、低成本打印模型的创客和DIY爱好者。美国市场中，年轻的科技爱好者和教育领域用户亦为重要潜在客户。,建议采用多层次定价，基础模型免费或低价吸引用户，进阶模型打包销售或订阅制，提高用户生命周期价值。结合限时优惠和会员专享内容，促进转化和复购。,
4,2026,2026-01-20,3,Top Product,"Let’s 3D print a custom stamp with @BAMBULAB Official ✨ I pick a ready-to-print model, add my own de",42.15,0,37.04,0,50,0,0,0,0,5.73,https://www.tiktok.com/@Koni Studio/video/7596324295870188822,该产品定位于个性化定制礼品和办公辅助工具市场，强调3D打印技术带来的独特定制体验和快速成品交付。通过简单易用的预设模型结合用户自定义设计，满足用户对独特印章的需求，提升产品附加值。,主要面向注重个性化办公用品和手工艺品的年轻专业人士、创意工作者及小型企业主。这部分用户倾向于在线购物，愿意为定制化和独特设计支付溢价，同时对DIY和3D打印技术有一定认知。,建议采取中高端定价策略，结合材料成本和打印时间，定价区间可设在25-50美元之间。通过分层定价提供基础款和高级定制款，提升用户选择空间，同时确保利润率。可结合限时折扣和捆绑销售促进转化。,
4,2026,2026-01-20,4,Top Product,HES DONE. Full length video out now.  Printed on my @formlabs Form 4L. Model by @vek3d #anime #onepi,37.6,0,100.0,0,50,0,0,0,0,15.47,https://www.tiktok.com/@Emily/video/7488025463323921695,该产品定位于高品质动漫周边收藏品市场，强调精细的全身树脂打印模型，满足高端动漫爱好者和收藏家的需求。通过Formlabs Form 4L树脂打印技术展现细节和质感，突出工艺和艺术价值。,目标用户为18-35岁的动漫和One Piece粉丝，尤其是热衷于收藏限量3D打印模型的中高端消费者。此外，3D打印爱好者和模型制作社区成员也具有较大兴趣。,建议采用中高端定价策略，价格区间可设定在80-150美元，突出限量和工艺价值。结合预售和限量发售策略，提升产品稀缺感和收藏价值。,
4,2026,2026-01-20,5,Top Product,"Jade Green Oni Mask #3. STL available. Printed with a mix of orange, red, green, blue transparent re",35.93,0,39.78,0,80,0,0,0,0,6.15,https://www.tiktok.com/@Michael Wong/video/7165712624334802218,该产品定位于高端个性化装饰品和收藏品市场，融合文化元素与艺术表现，适合追求独特视觉体验的消费者。通过多色透明树脂混合打印，突出工艺复杂性和视觉冲击力，满足3D打印爱好者和文化艺术收藏者的需求。,主要面向年龄在18-35岁的年轻人群，涵盖3D打印爱好者、动漫及日本文化迷、以及家居个性化装饰需求者。用户注重产品的艺术价值和文化象征，愿意为限量和高品质手工感产品支付溢价。,建议采取中高端定价策略，单件价格定位在80-150美元之间，以体现复杂工艺和限量价值。可通过捆绑销售或限时折扣激发购买动力，同时提供数字版STL文件以拓展数字产品收入。,
4,2026,2026-01-20,1,Watch Product,3D Printed Monster Energy Ultra Folding Door Display Box⚡️ 📁Model STL: Link in bio 🧶Filament: @SUNLU,37.41,0,17.13,0,50,0,0,0,0,2.65,https://www.tiktok.com/@NK3DLab/video/7597135957988527382,,,,
4,2026,2026-01-20,2,Watch Product,everyday bit by bit. I will organise my kitchen so it doesn't fall into chaos. thank you 3D printing,37.4,0,22.93,0,50,0,0,0,0,3.55,https://www.tiktok.com/@Beginn3r3DPrinter/video/7595961123359247638,,,,
4,2026,2026-01-20,3,Watch Product,TOP 3 satisfying 3D prints in 45 seconds!  (Pt.8) Quick showcase of three satisfying 3D printed fidg,37.02,0,21.31,0,50,0,0,0,0,3.3,https://www.tiktok.com/@3dToyLab/video/7596048643564621068,,,,
4,2026,2026-01-20,4,Watch Product,7 Insanely Fun 3D-Prints in Only 1 Minute! #3dprinting #satisfying #fyp ,35.28,0,16.63,0,50,0,0,0,0,2.57,https://www.tiktok.com/@mind2make/video/7594256473832574239,,,,
4,2026,2026-01-20,5,Watch Product,4 Satisfying 3D Printed Fidget Toys You Must See!  A quick round of four addictive print-and-play fi,35.22,0,24.71,0,50,0,0,0,0,3.82,https://www.tiktok.com/@3dToyLab/video/7593815392519195915,,,,
